Model,Region,Discharge,Expression,Cumulative probability,Value
CAT_775,region_1,Dry_plant,CONT,"[0, 0.01, 0.16, 0.31, 0.46, 0.61, 0.76, 0.86, 0.91, 0.93, 1]","[0.001, 0.6, 5.1, 6.7, 8.1, 9.6, 11.6, 14, 16.3, 19.4, 30.1]"
CAT_775,region_1,Waste dump_1,CONT,"[0, 0.03, 0.19, 0.34, 0.46, 0.62, 0.77, 0.85, 0.89, 0.91, 0.92, 1]","[0.001, 2.2, 5, 6.1, 9.1, 11.2, 13.5, 16, 19, 20.8, 22.9, 34]"
CAT_775,region_1,Waste dump_2,NORM,15.385,0.76925
CAT_775,region_1,Wet_plant,CONT,"[0, 0.1, 0.25, 0.4, 0.55, 0.7, 0.85, 0.94, 0.97, 0.98, 0.98, 0.99, 0.99, 0.99, 1]","[0.001, 3.9, 4.9, 5.6, 6.3, 8, 11, 14.7, 18.7, 22, 26.2, 29.5, 33.9, 41.2, 54.8]"
CAT_775,region_2,Dry_plant,CONT,"[0, 0.01, 0.16, 0.31, 0.46, 0.61, 0.76, 0.86, 0.91, 0.93, 1]","[0.001, 0.6, 5.1, 6.7, 8.1, 9.6, 11.6, 14, 16.3, 19.4, 30.1]"
CAT_775,region_2,Waste dump_1,CONT,"[0, 0.03, 0.19, 0.34, 0.46, 0.62, 0.77, 0.85, 0.89, 0.91, 0.92, 1]","[0.001, 2.2, 5, 6.1, 9.1, 11.2, 13.5, 16, 19, 20.8, 22.9, 34]"
CAT_775,region_2,Waste dump_2,NORM,15.385,0.76925
CAT_775,region_2,Wet_plant,CONT,"[0, 0.1, 0.25, 0.4, 0.55, 0.7, 0.85, 0.94, 0.97, 0.98, 0.98, 0.99, 0.99, 0.99, 1]","[0.001, 3.9, 4.9, 5.6, 6.3, 8, 11, 14.7, 18.7, 22, 26.2, 29.5, 33.9, 41.2, 54.8]"
CAT_775,region_3,Dry_plant,NORM,12.38,0.619
CAT_775,region_3,Waste dump_1,CONT,"[0, 0.03, 0.19, 0.35, 0.51, 0.67, 0.81, 0.83, 0.84, 0.87, 0.89, 1]","[0.001, 3.4, 5.1, 6.1, 8.2, 11.3, 14.2, 17.1, 19.8, 25.3, 27.4, 36.8]"
CAT_775,region_3,Waste dump_2,NORM,15.55,0.7775
CAT_775,region_3,Wet_plant,NORM,7.905,0.39525
CAT_775,region_4,Dry_plant,NORM,12.975,0.64875
CAT_775,region_4,Waste dump_1,CONT,"[0, 0.03, 0.19, 0.35, 0.51, 0.67, 0.81, 0.83, 0.84, 0.87, 0.89, 1]","[0.001, 3.4, 5.1, 6.1, 8.2, 11.3, 14.2, 17.1, 19.8, 25.3, 27.4, 36.8]"
CAT_775,region_4,Waste dump_2,NORM,11.885,0.59425
CAT_775,region_4,Wet_plant,NORM,8.86,0.443
CAT_775,region_5,Dry_plant,CONT,"[0, 0.09, 0.25, 0.4, 0.55, 0.71, 0.86, 0.93, 0.96, 1]","[0.001, 4.8, 6.1, 7.1, 8.2, 10.5, 14.6, 19.3, 23.8, 56.1]"
