Region,Altitude,Order,Type,MMU,Mass,G1,G2,G3,FET,SIT,PT,ALT,MNT,LOIT,FE1,SI1,P1,AL1,MN1,LOI1,FE2,SI2,P2,AL2,MN2,LOI2,FE3,SI3,P3,AL3,MN3,LOI3
region_1,100,3,1,region_1#100#3#1,1326,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_1,100,3,2,region_1#100#3#2,2477,21.55,24.74,53.71,55.85,11.08,0.10,2.00,2.02,4.14,59.27,3.23,0.15,2.16,2.79,5.95,60.20,3.39,0.13,1.78,2.65,4.76,52.48,17.76,0.07,2.04,1.42,3.13
region_1,90,2,1,region_1#90#2#1,10416,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_1,90,3,1,region_1#90#3#1,139370,4.50,11.93,48.73,25.58,26.54,0.02,0.73,0.46,0.72,49.44,24.47,0.04,0.83,1.69,1.49,57.37,13.73,0.04,0.88,1.17,1.36,33.89,48.84,0.02,1.20,0.50,1.01
region_1,90,3,2,region_1#90#3#2,7120,23.68,29.67,46.64,62.23,2.70,0.08,2.80,0.89,4.15,59.89,1.80,0.10,4.99,0.83,6.53,62.86,1.40,0.09,2.66,1.09,4.45,63.01,3.98,0.06,1.78,0.79,2.76
region_1,90,3,3,region_1#90#3#3,8867,10.62,20.43,68.94,48.21,21.63,0.05,2.17,3.10,2.84,50.88,8.47,0.10,4.03,6.08,5.91,55.71,6.47,0.07,2.17,5.35,3.75,45.58,28.15,0.04,1.89,1.98,2.09
region_1,90,3,4,region_1#90#3#4,30442,6.72,17.77,75.52,42.89,35.42,0.04,1.03,0.60,1.36,53.75,19.74,0.06,0.56,0.69,1.81,60.76,9.46,0.05,0.69,0.78,1.50,37.72,42.93,0.04,1.15,0.55,1.29
region_1,80,1,1,region_1#80#1#1,173956,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_1,80,1,3,region_1#80#1#3,58083,24.26,22.46,53.28,45.92,29.83,0.04,1.58,0.21,2.56,56.52,12.34,0.05,2.20,0.20,4.16,61.36,7.61,0.04,1.34,0.32,2.74,34.59,47.17,0.03,1.40,0.17,1.75
region_1,80,2,1,region_1#80#2#1,251921,0.20,0.26,1.13,0.63,0.55,0.00,0.05,0.02,0.04,52.96,8.86,0.06,2.82,5.50,4.18,58.38,11.54,0.04,1.30,1.29,1.69,33.43,44.75,0.06,3.64,0.66,2.56
region_1,80,2,4,region_1#80#2#4,24488,8.24,27.73,64.03,43.89,34.91,0.03,0.90,0.41,0.92,51.49,24.95,0.02,0.46,0.51,0.73,59.35,13.07,0.02,0.48,0.44,0.59,36.22,45.64,0.03,1.14,0.39,1.09
region_1,80,3,1,region_1#80#3#1,294435,4.86,15.80,74.87,39.37,35.42,0.03,1.28,0.90,1.35,49.64,20.89,0.06,1.61,2.63,2.77,57.57,12.74,0.04,0.95,1.56,1.49,37.21,43.26,0.03,1.41,0.70,1.31
region_1,80,3,2,region_1#80#3#2,27207,10.13,24.91,64.96,56.21,16.12,0.03,1.41,0.66,1.49,63.80,3.67,0.03,1.28,1.23,1.53,62.71,4.94,0.04,1.30,1.04,1.73,52.53,22.35,0.03,1.47,0.43,1.39
region_1,80,3,3,region_1#80#3#3,90095,6.97,17.83,75.20,45.22,26.70,0.05,2.05,2.81,2.56,49.43,11.97,0.08,2.33,6.97,4.72,55.35,8.38,0.06,1.64,5.06,3.27,42.43,32.41,0.04,2.12,1.90,2.19
region_1,80,3,4,region_1#80#3#4,465669,6.25,18.94,74.81,43.90,33.60,0.03,1.17,0.72,1.36,52.93,19.43,0.05,1.24,1.25,2.02,60.11,10.98,0.03,0.68,0.74,1.12,39.04,40.51,0.03,1.28,0.67,1.36
region_1,70,1,1,region_1#70#1#1,136287,4.68,2.02,2.02,4.58,2.10,0.00,0.03,0.02,0.04,56.40,18.88,0.01,0.20,0.08,0.33,61.31,11.14,0.02,0.33,0.34,0.50,34.50,48.96,0.02,0.70,0.25,0.79
region_1,70,1,2,region_1#70#1#2,3189,34.40,16.21,49.39,57.07,16.69,0.02,0.60,0.04,0.97,63.57,7.19,0.02,0.47,0.02,1.17,63.08,7.18,0.02,0.79,0.08,1.40,50.57,26.43,0.01,0.63,0.03,0.69
region_1,70,1,3,region_1#70#1#3,23744,27.13,22.99,49.87,47.02,27.99,0.04,2.05,0.13,2.40,56.39,12.80,0.05,2.66,0.12,3.51,61.69,7.31,0.04,1.71,0.18,2.32,35.16,45.79,0.03,1.88,0.10,1.83
region_1,70,2,1,region_1#70#2#1,227585,1.22,2.31,6.59,4.22,3.72,0.00,0.11,0.08,0.13,53.48,19.55,0.03,0.81,1.24,1.32,57.16,14.99,0.03,0.57,1.10,1.03,34.20,47.59,0.03,1.36,0.66,1.29
region_1,70,2,3,region_1#70#2#3,2440,6.08,29.09,64.83,47.96,24.75,0.04,1.17,2.78,1.80,58.67,7.99,0.03,0.57,4.18,1.52,62.99,4.20,0.03,0.30,3.36,1.10,40.21,35.55,0.04,1.61,2.38,2.14
region_1,70,2,4,region_1#70#2#4,79021,10.15,23.36,66.50,43.66,34.80,0.03,1.09,0.51,1.07,54.04,20.29,0.02,0.62,0.74,0.96,58.57,13.44,0.02,0.68,0.74,0.90,36.84,44.52,0.03,1.31,0.39,1.14
region_1,70,3,1,region_1#70#3#1,140705,6.99,15.71,77.30,41.54,36.97,0.03,1.22,0.80,1.28,49.06,23.47,0.05,1.70,1.71,2.21,58.48,12.73,0.02,0.73,1.16,1.06,37.42,43.11,0.03,1.27,0.64,1.24
region_1,70,3,2,region_1#70#3#2,6194,14.22,26.81,58.97,57.97,13.60,0.03,1.22,0.56,1.51,64.56,3.90,0.03,0.96,0.44,1.82,64.00,4.33,0.03,0.95,0.72,1.36,53.64,20.15,0.03,1.40,0.51,1.50
region_1,70,3,4,region_1#70#3#4,609932,7.53,18.27,74.20,44.53,32.57,0.03,1.27,0.71,1.40,52.22,19.86,0.05,1.39,1.31,2.18,59.37,11.86,0.03,0.72,0.76,1.20,40.10,38.96,0.03,1.39,0.64,1.36
region_1,60,1,1,region_1#60#1#1,59032,0.46,0.50,1.63,1.06,0.98,0.00,0.02,0.02,0.03,57.71,13.64,0.03,0.91,0.90,1.24,59.08,11.21,0.03,0.69,1.39,1.29,30.90,52.98,0.03,0.97,0.47,0.98
region_1,60,1,2,region_1#60#1#2,3039,36.53,17.87,45.60,59.72,10.53,0.04,1.18,0.07,2.82,62.13,6.08,0.04,1.32,0.02,3.79,64.51,3.67,0.04,0.99,0.15,2.98,55.90,16.78,0.03,1.14,0.07,1.99
region_1,60,1,3,region_1#60#1#3,49495,27.34,13.90,58.75,51.15,16.91,0.07,4.39,0.11,5.19,53.94,10.82,0.10,4.41,0.18,7.08,57.01,8.62,0.08,3.58,0.09,5.58,48.47,21.71,0.05,4.57,0.08,4.22
